age_kyr,mean_ann_T_band_all,mean_ann_iceA_all
0,-2.21930881956157,39.2446527559799
1,-2.17497574855854,39.1088549781599
2,-2.10370301723303,38.8752261965087
3,-2.03749074724461,38.6490015735436
4,-1.98783340105419,38.4921454378168
5,-1.91970411702569,38.2616688786994
6,-1.85757282003527,38.0355750493612
7,-1.7984601654927,37.8196278023388
8,-1.75221216717357,37.6580278619158
9,-1.71040443905291,37.483429604045
10,-1.68615206254848,37.3793395241719
11,-1.67789005270948,37.3334971103942
12,-1.68168889717459,37.3244022363409
13,-1.71226594982505,37.4176184121036
14,-1.75868461309047,37.576390988864
15,-1.82457111716359,37.8028513886371
16,-1.90383711004452,38.0720810945448
17,-1.99307302891625,38.3791936764357
18,-2.09770830958699,38.7522411709756
19,-2.20663994628868,39.1433884210952
20,-2.31554057283624,39.5419117447068
21,-2.43304461501985,39.9737719084015
22,-2.5374756275105,40.3487176045749
23,-2.60744764104431,40.595163602593
24,-2.67036888318607,40.8070119817627
25,-2.71093380292323,40.9409645361019
26,-2.71560463021284,40.9416889615651
27,-2.70826343397708,40.9087567802364
28,-2.69952965403749,40.8614987896805
29,-2.65793685064861,40.6884955671043
30,-2.62798025942906,40.5789677155955
31,-2.57192422204126,40.3612194561198
32,-2.52780194384759,40.2078798096634
33,-2.46611181865145,39.9765687148079
34,-2.41156335855179,39.796849021484
35,-2.34856013336588,39.5681108847898
36,-2.28618254408803,39.3641151912951
37,-2.22690224101666,39.1733452508142
38,-2.15465906516005,38.9185533996797
39,-2.08778626719064,38.7001437003203
40,-2.03735128125349,38.5455181013635
41,-1.97757325422894,38.3431554113959
42,-1.92556739085534,38.1797989137513
43,-1.87286671226918,38.0136813149429
44,-1.84008025808541,37.9171048301158
45,-1.81082945754286,37.8317194195219
46,-1.78006552695308,37.7303005255621
47,-1.76442854361592,37.6847847792658
48,-1.74955678970566,37.6468155401959
49,-1.74792565594755,37.6494588136456
50,-1.75420322155667,37.6782802482982
51,-1.77504192918028,37.7590314501021
52,-1.79408097949383,37.8225642659751
53,-1.8192820636809,37.9025966353414
54,-1.84446575919128,37.982661745277
55,-1.87308630248292,38.0623220773883
56,-1.90672653937866,38.1628709787963
57,-1.95868100769159,38.323465755129
58,-2.00642695225805,38.4784875809309
59,-2.04946097831449,38.6022035027155
60,-2.09691495134252,38.7336265144653
61,-2.1634311084625,38.9566742196027
62,-2.23163361791442,39.1688224026375
63,-2.28577561481721,39.3356541436571
64,-2.35435102237269,39.5741251906075
65,-2.42804208310138,39.8322373211864
66,-2.50775497756492,40.1223961169973
67,-2.58634283476108,40.4181410470743
68,-2.65907165640425,40.6927891536557
69,-2.7093927835383,40.8911181398058
70,-2.75585520309748,41.0943391145142
71,-2.77509703043254,41.1799058890601
72,-2.76865133163679,41.1825171552038
73,-2.73681789250956,41.0707213514536
74,-2.68593772420327,40.9105470239493
75,-2.59967941143528,40.5995227311209
76,-2.50455004370891,40.2492493240204
77,-2.39678365928101,39.8641315393903
78,-2.30117342558099,39.5269531431347
79,-2.20549401137221,39.1860926927819
80,-2.10632744930074,38.831296050536
81,-2.01495048727064,38.4982923014804
82,-1.93098208327427,38.2063281821619
83,-1.84520374046175,37.8792581911544
84,-1.7776044785508,37.6397431924353
85,-1.72468992708978,37.4331093430659
86,-1.66666800056129,37.2194784196161
87,-1.64484973285117,37.1451050965977
88,-1.62723486078952,37.0903197273862
89,-1.63894915808487,37.1424635960574
90,-1.65278752244186,37.21922162194
91,-1.68567747469486,37.3716659876996
92,-1.72654555427081,37.5389787832738
93,-1.78186112508902,37.7866280829047
94,-1.82463624408745,37.9684541894426
95,-1.86272412148386,38.1317720059062
96,-1.88681080469236,38.2310958742886
97,-1.90111729445677,38.2919013487101
98,-1.91522602672939,38.3386154887304
99,-1.91247655176805,38.3063124756315
100,-1.91578111988121,38.3095710754138
101,-1.92036241797334,38.2924534507062
102,-1.92712410124621,38.2911656127301
103,-1.93315268549829,38.2745513728863
104,-1.95744451864041,38.3224956875374
105,-1.97708994781443,38.3401868867607
106,-2.00177388081714,38.3753770643142
107,-2.0548093426906,38.5394010072038
108,-2.11522477836828,38.7202964532558
109,-2.18040345356725,38.9327572048509
110,-2.2631635671812,39.2140581163161
111,-2.36002294441947,39.5682739674408
112,-2.47801742005291,40.0454962937436
113,-2.57797032769498,40.4456784519685
114,-2.65254827970207,40.7671203384194
115,-2.69402205557057,40.9674668579848
116,-2.69944225753691,41.035662690867
117,-2.65349528146187,40.9029381677566
118,-2.56287178801885,40.5969901636293
119,-2.45481919346404,40.228027462683
120,-2.30531978987439,39.6896899050267
121,-2.15251027961047,39.135717459757
122,-2.0122468790539,38.6233907131537
123,-1.89788338510746,38.2238228741191
124,-1.78775927361486,37.822455033468
125,-1.6816497024404,37.4219054383372
126,-1.58575342060304,37.0498392186682
127,-1.50585273746213,36.7179856793479
128,-1.45000779637097,36.5028384654847
129,-1.42001062420447,36.3706874706601
130,-1.41676093590838,36.3383047318113
131,-1.44322947781936,36.4306441952443
132,-1.48705442859374,36.596431973958
133,-1.55178111488653,36.8346770304313
134,-1.63516303329968,37.1440051004032
135,-1.74216235216874,37.5424458980539
136,-1.85607884411433,37.9774137980075
137,-1.98279812491479,38.4595306310646
138,-2.09537386547988,38.8873406689155
139,-2.19093568880368,39.2547505999117
140,-2.26857973876594,39.5242662112225
141,-2.3247081128083,39.713244741599
142,-2.35874196963955,39.8160357763859
143,-2.38632631901701,39.9004008766047
144,-2.40272161138472,39.9339626288081
145,-2.39900198449881,39.8774050377123
146,-2.39483609550242,39.8442570304793
147,-2.39582296671395,39.8168080534138
148,-2.3744502391668,39.71278671521
149,-2.36188002787932,39.6470470098233
150,-2.34192994934466,39.5610017043307
151,-2.32524978644863,39.4849169320302
152,-2.30460385090114,39.3993769343137
153,-2.28315777371749,39.316919548865
154,-2.26264194281566,39.2413655326658
155,-2.23892833708838,39.1594065295462
156,-2.22057204017025,39.105115962476
157,-2.20561549052007,39.0730880423539
158,-2.18584125344702,39.0412151908212
159,-2.17102081204065,39.0181505162036
160,-2.15322633872841,38.9884720432061
161,-2.13405117467262,38.9564120629992
162,-2.10454665135542,38.8864187850757
163,-2.08053263534938,38.8374473198812
164,-2.03922452426845,38.7014861463571
165,-1.99015914992507,38.5550329476861
166,-1.93839047224543,38.3733119201997
167,-1.89079714884457,38.2040808501834
168,-1.85236569740627,38.0857580406276
169,-1.8030268160296,37.9068110719531
170,-1.75636375765735,37.7250445249923
171,-1.72884747204343,37.622685305873
172,-1.69448290181859,37.4752919942985
173,-1.67785855915877,37.4009879413242
174,-1.67095567258718,37.3395466545986
175,-1.66518897132501,37.2839160960511
176,-1.67580415505513,37.2955747829772
177,-1.70783293253122,37.372718001711
178,-1.75585433956969,37.5280594145156
179,-1.81570063766185,37.723588988162
180,-1.8939879232658,37.9868177159767
181,-1.98200781602519,38.2909176260152
182,-2.09019243858262,38.6823703875213
183,-2.22649029740754,39.2072382771398
184,-2.3742365377864,39.7845983776653
185,-2.49260051229581,40.246297453156
186,-2.59375396363448,40.6445971081026
187,-2.66083341590532,40.8970787900395
188,-2.68664865779519,41.0096784990656
189,-2.67906340915586,40.9970135789258
190,-2.62901214833302,40.8026178757222
191,-2.5586144342891,40.5349599470768
192,-2.46347547681232,40.1556084901293
193,-2.36997222425363,39.8102961889363
194,-2.29056489853636,39.5187941237443
195,-2.20812547437401,39.2038299167716
196,-2.1178511066402,38.8595153772513
197,-2.03342273816736,38.5296334077956
198,-1.96334276353088,38.267886585212
199,-1.88973122759048,37.9747619715638
200,-1.82603822472168,37.7384251362942
